School,Conference,Wins,Losses,W-L%,Team Points per Game,Team Points per Game Allowed,Team Rebounds per Game,Strength of Schedule,Team Field Goal %,Team 3-Point %,Team Free Throw %,Offensive Rating,Scoring Leader,Points per Game,Rebounds Leader,Rebounds per Game,Assists Leader,Assists per Game
Long Island University,NEC,14,17,0.452,76.3,76.6,34.4,-06.06,0.441,0.347,0.714,101.6,Raiquan Clark,19.9,Tyrn Flowers,09.9,Jashaun Agosto,3.7
Longwood,Big_South,14,17,0.452,67.6,68.3,34.4,-09.21,0.407,0.344,0.708,096.9,Juan Munoz,10.8,Jordan Cintron,06.3,Shabooty Phillips,3.1
Louisiana,Sun_Belt,12,18,0.400,71.8,75.5,35.1,-00.64,0.414,0.315,0.735,098.9,Jalen Johnson,15.2,Jalen Johnson,06.6,Mylik Wilson,2.7
Louisiana-Monroe,Sun_Belt,09,19,0.321,63.4,67.7,33.5,-00.33,0.422,0.340,0.678,095.2,Michael Ertel,16.4,Tyree White,05.6,Michael Ertel,2.9
Louisiana State,SEC,20,09,0.690,79.7,72.7,39.7,06.94,0.469,0.317,0.769,112.3,Skylar Mays,16.2,Darius Days,07.2,Ja'vonte Smart,4.1
Louisiana Tech,CUSA,20,08,0.714,74.8,64.1,37.4,-01.56,0.464,0.354,0.662,108.3,DaQuan Bracey,13.0,Mubarak Muhammed,08.5,DaQuan Bracey,2.9
Louisville,ACC,24,06,0.800,74.7,63.9,38.9,07.41,0.456,0.376,0.730,110.1,Jordan Nwora,18.0,Dwayne Sutton,08.3,David Johnson,2.8
Loyola (IL),MVC,21,10,0.677,68.5,62.4,29.8,00.55,0.499,0.366,0.656,103.5,Cameron Krutwig,15.3,Cameron Krutwig,08.0,Cameron Krutwig,4.2
Loyola Marymount,WCC,10,20,0.333,64.3,67.5,29.9,04.13,0.466,0.313,0.665,098.9,Eli Scott,15.4,Eli Scott,06.6,Eli Scott,4.4
Loyola (MD),Patriot,15,16,0.484,73.3,74.7,34.5,-06.97,0.463,0.317,0.635,102.0,Andrew Kostecka,19.9,KaVaughn Scott,05.3,Isaiah Hart,3.1
Maine,AEC,08,21,0.276,61.5,68.4,34.1,-03.84,0.405,0.280,0.717,092.0,Sergio El Darwich,14.7,Andrew Fleming,06.3,Sergio El Darwich,4.1
Manhattan,MAAC,12,15,0.444,63.1,64.7,34.6,-06.38,0.403,0.305,0.616,093.2,Tykei Greene,10.2,Pauly Paulicap,06.2,Samir Stewart,3.0
Marist,MAAC,07,21,0.250,60.5,65.3,33.8,-06.94,0.388,0.342,0.652,090.2,Michael Cubbage,09.2,Michael Cubbage,06.0,Michael Cubbage,3.4
Marquette,Big_East,18,10,0.643,77.8,71.1,39.5,09.28,0.431,0.382,0.738,107.3,Markus Howard,27.6,Jayce Johnson,05.4,Koby McEwen,3.3
Marshall,CUSA,14,15,0.483,74.7,72.5,38.3,00.21,0.439,0.306,0.645,099.0,Taevion Kinsey,16.1,Iran Bennett,05.6,Taevion Kinsey,4.1
Maryland-Baltimore County,AEC,14,16,0.467,67.8,66.4,34.9,-04.64,0.440,0.314,0.632,098.7,KJ Jackson,13.4,Brandon Horvath,06.7,KJ Jackson,4.3
Maryland-Eastern Shore,MEAC,05,24,0.172,57.1,71.9,33.3,-04.92,0.363,0.247,0.630,081.6,A.J. Cheeseman,10.3,A.J. Cheeseman,05.2,Glen Anderson,2.2
Maryland,Big_Ten,23,06,0.793,71.6,63.8,38.6,10.16,0.417,0.314,0.747,105.5,Anthony Cowan,16.1,Jalen Smith,10.5,Anthony Cowan,4.7
Massachusetts-Lowell,AEC,12,18,0.400,75.0,76.3,34.1,-05.21,0.459,0.335,0.716,104.0,Christian Lutete,19.1,Christian Lutete,07.0,Jordyn Owens,3.1
Massachusetts,A-10,13,16,0.448,68.5,71.7,32.6,03.77,0.426,0.328,0.688,097.6,Tre Mitchell,16.9,Tre Mitchell,06.9,Sean East,4.8
McNeese State,Southland,14,15,0.483,81.2,74.6,36.0,-07.23,0.507,0.412,0.723,111.6,Shamarkus Kennedy,18.4,Shamarkus Kennedy,10.5,A.J. Lawson,4.2
Memphis,AAC,20,09,0.690,72.7,65.1,40.0,04.29,0.444,0.332,0.678,098.0,Precious Achiuwa,15.5,Precious Achiuwa,10.4,Alex Lomax,4.2
Mercer,Southern,17,14,0.548,72.2,70.3,36.7,-02.80,0.451,0.359,0.727,102.4,Djordje Dimitrijevic,17.0,Ethan Stair,09.3,Djordje Dimitrijevic,3.7
Merrimack,NEC,20,11,0.645,62.8,60.2,28.7,-06.57,0.419,0.339,0.681,096.4,Jaleel Lord,10.8,Juvaris Hayes,04.7,Juvaris Hayes,6.4
Miami (FL),ACC,14,14,0.500,72.5,74.6,34.4,08.34,0.436,0.321,0.755,101.9,Chris Lykes,15.2,Sam Waardenburg,05.9,Chris Lykes,2.5
Miami (OH),MAC,12,17,0.414,70.7,70.8,35.4,-00.79,0.424,0.344,0.706,101.8,Nike Sibande,13.6,Nike Sibande,05.9,Mekhi Lairy,2.9
Michigan State,Big_Ten,20,09,0.690,75.7,64.4,40.7,10.36,0.458,0.352,0.750,108.7,Cassius Winston,18.5,Xavier Tillman,10.2,Cassius Winston,5.8
Michigan,Big_Ten,18,11,0.621,75.0,68.1,36.5,11.24,0.462,0.342,0.713,107.0,Zavier Simpson,13.0,Jon Teske,06.9,Zavier Simpson,7.9
Middle Tennessee,CUSA,07,22,0.241,71.4,76.2,34.9,01.34,0.423,0.336,0.669,099.4,C.J. Jones,16.1,Jayce Johnson,05.0,Donovan Sims,3.3
Milwaukee,Horizon,12,18,0.400,72.0,73.0,36.2,-03.90,0.414,0.321,0.709,099.4,Darius Roy,15.6,DeAndre Abram,06.3,Te'Jon Lucas,5.0
Minnesota,Big_Ten,13,15,0.464,69.9,66.1,39.2,12.03,0.420,0.320,0.694,103.4,Daniel Oturu,20.2,Daniel Oturu,11.4,Marcus Carr,6.6
Mississippi State,SEC,19,10,0.655,73.6,68.4,37.2,06.82,0.471,0.338,0.750,109.2,Reggie Perry,17.2,Reggie Perry,09.7,Tyson Carter,3.1
Mississippi Valley State,SWAC,02,26,0.071,68.3,90.6,35.4,-06.93,0.369,0.294,0.651,086.2,Michael Green,17.5,Brandon Kimble,06.0,Torico Simmons,2.4
Mississippi,SEC,14,15,0.483,69.9,68.1,34.0,06.53,0.436,0.330,0.731,100.4,Breein Tyree,20.1,KJ Buffen,05.9,Devontae Shuler,3.5
Missouri-Kansas City,WAC,15,14,0.517,70.1,66.4,31.2,-03.29,0.460,0.362,0.686,102.6,Brandon McKissic,10.7,Javan White,06.9,Brandon McKissic,3.0
Missouri State,MVC,15,16,0.484,70.0,67.7,36.9,00.69,0.435,0.351,0.745,101.8,Keandre Cook,14.6,Tulio Da Silva,07.0,Gaige Prim,1.5
Missouri,SEC,14,15,0.483,67.1,65.3,34.9,06.27,0.412,0.300,0.778,099.2,Dru Smith,12.7,Mitchell Smith,05.0,Dru Smith,3.8
Monmouth,MAAC,17,12,0.586,71.3,70.9,34.3,-05.18,0.410,0.334,0.721,098.3,Deion Hammond,16.2,Mustapha Traore,05.4,Samuel Chaput,3.2
Montana State,Big_Sky,15,14,0.517,66.6,66.8,34.9,-02.56,0.444,0.326,0.744,097.4,Harald Frey,16.5,Jubrile Belo,06.0,Harald Frey,4.6
Montana,Big_Sky,18,11,0.621,70.7,67.8,31.2,-01.74,0.476,0.364,0.725,101.2,Sayeed Pridgett,19.3,Sayeed Pridgett,07.2,Sayeed Pridgett,3.8
Morehead State,OVC,13,18,0.419,69.1,69.9,36.9,-06.36,0.437,0.294,0.637,098.9,Jordan Walker,12.5,Tyzhaun Claude,06.3,Justin Thomas,4.4
Morgan State,MEAC,15,15,0.500,70.7,71.0,39.4,-09.08,0.427,0.281,0.697,098.1,Stanley Davis,13.7,Stanley Davis,06.0,Stanley Davis,2.4
Mount St. Mary's,NEC,11,20,0.355,64.3,66.8,35.4,-06.50,0.402,0.303,0.697,098.1,Damian Chong-Qui,12.0,Malik Jefferson,07.0,Damian Chong-Qui,3.8
Murray State,OVC,22,08,0.733,75.5,64.4,38.1,-06.66,0.478,0.368,0.705,107.3,Tevin Brown,17.7,Anthony Smith,07.7,Tevin Brown,3.6
Navy,Patriot,14,15,0.483,63.6,64.0,36.1,-05.79,0.408,0.301,0.692,100.2,Cam Davis,16.4,Greg Summers,06.7,Cam Davis,2.6
Omaha,Summit,16,15,0.516,74.2,76.8,35.9,-01.11,0.455,0.342,0.708,103.4,KJ Robinson,15.3,Matt Pile,09.7,KJ Robinson,2.8
Nebraska,Big_Ten,07,22,0.241,70.3,76.6,35.2,09.99,0.412,0.323,0.586,095.2,Haanif Cheatham,12.6,Yvan Ouedraogo,06.6,Cam Mack,6.4
Nevada-Las Vegas,MWC,17,14,0.548,72.5,70.2,39.1,04.76,0.437,0.319,0.695,105.0,Bryce Hamilton,15.8,Cheikh Mbacke Diong,08.0,Amauri Hardy,3.4
Nevada,MWC,19,11,0.633,77.3,72.3,38.3,04.42,0.450,0.384,0.752,107.5,Jalen Harris,21.8,Lindsey Drew,06.6,Lindsey Drew,4.1
New Hampshire,AEC,15,13,0.536,69.6,66.2,41.8,-06.10,0.409,0.333,0.675,098.1,Nick Guadarrama,12.9,Sean Sutherlin,09.2,Marque Maultsby,3.0
New Mexico State,WAC,24,06,0.800,71.0,60.1,35.2,-04.25,0.454,0.353,0.717,109.4,Jabari Rice,13.2,Johnny McCants,06.1,Shunn Buchanan,2.7
New Mexico,MWC,18,13,0.581,76.8,75.5,35.0,02.56,0.470,0.331,0.716,105.4,JaQuan Lyle,15.0,Vance Jackson,04.8,JaQuan Lyle,4.7
New Orleans,Southland,08,20,0.286,75.4,77.1,30.7,-04.08,0.462,0.346,0.751,104.0,Bryson Robinson,18.4,Gerrale Gates,05.5,Troy Green,3.0
Niagara,MAAC,11,18,0.379,66.5,73.0,27.4,-04.03,0.433,0.371,0.752,098.8,Marcus Hammond,14.6,Marcus Hammond,04.6,Marcus Hammond,2.8
Nicholls State,Southland,20,10,0.667,76.9,69.6,34.7,-05.95,0.441,0.335,0.749,104.2,Dexter McClanahan,13.9,Warith Alatishe,08.3,Kevin Johnson,3.9
NJIT,A-Sun,09,20,0.310,64.0,68.1,33.1,-05.30,0.405,0.305,0.679,095.3,Zach Cooks,19.8,Souleymane Diakite,08.5,Shyquan Gibbs,2.1
Norfolk State,MEAC,14,15,0.483,70.3,64.7,37.2,-08.75,0.413,0.322,0.704,099.8,Jermaine Bishop,15.4,DeVante Carter,05.5,Steven Whitley,3.2
North Alabama,A-Sun,13,16,0.448,68.6,69.3,36.1,-05.70,0.426,0.338,0.684,097.3,Christian Agnew,12.9,Emanuel Littles,10.4,Jamari Blackmon,2.8
North Carolina-Asheville,Big_South,14,15,0.483,75.6,75.1,30.2,-08.30,0.464,0.348,0.658,105.4,Devon Baker,16.6,L.J. Thorpe,06.4,Lavar Batts Jr.,2.6
North Carolina A&T,MEAC,15,14,0.517,71.3,71.6,39.1,-06.82,0.422,0.294,0.604,093.7,Ronald Jackson,14.9,Ronald Jackson,10.2,Kameron Langley,7.6
North Carolina Central,MEAC,15,13,0.536,68.3,65.1,33.7,-08.21,0.457,0.306,0.654,097.7,Jibri Blount,19.2,Jibri Blount,09.1,Jordan Perkins,4.7
North Carolina-Greensboro,Southern,23,08,0.742,74.3,62.6,37.1,-01.49,0.433,0.324,0.634,106.5,Isaiah Miller,17.8,James Dickey,09.2,Isaiah Miller,3.0
North Carolina State,ACC,18,11,0.621,74.6,69.7,36.1,06.64,0.448,0.320,0.712,105.1,C.J. Bryce,13.4,C.J. Bryce,06.1,Markell Johnson,6.5
North Carolina-Wilmington,CAA,10,21,0.323,68.7,71.9,34.0,-00.65,0.433,0.344,0.705,097.8,Jaylen Sims,12.1,Mike Okauru,05.6,Mike Okauru,2.7
North Carolina,ACC,12,17,0.414,71.8,72.2,42.3,09.75,0.419,0.294,0.672,100.2,Garrison Brooks,16.1,Garrison Brooks,08.7,Leaky Black,2.5
North Dakota State,Summit,22,08,0.733,74.4,66.4,35.4,-03.83,0.447,0.350,0.797,109.1,Vinnie Shahid,18.1,Tyson Ward,07.1,Vinnie Shahid,3.0
North Dakota,Summit,13,17,0.433,75.7,75.0,35.7,-01.27,0.461,0.339,0.768,105.9,Marlon Stewart,18.9,Filip Rebraca,09.1,Marlon Stewart,5.2
North Florida,A-Sun,20,11,0.645,78.1,72.7,34.9,-02.99,0.450,0.381,0.765,112.1,Garrett Sams,15.1,Carter Hendricksen,07.3,Ivan Gandia-Rosa,6.4
North Texas,CUSA,20,10,0.667,72.0,63.5,32.2,01.88,0.488,0.384,0.753,110.2,Umoja Gibson,14.8,Thomas Bell,05.8,Javion Hamlet,4.9
Northeastern,CAA,15,15,0.500,71.5,66.6,31.2,-03.42,0.473,0.365,0.796,107.4,Jordan Roland,22.7,Bolden Brace,06.6,Tyson Walker,3.4
Northern Arizona,Big_Sky,16,12,0.571,71.4,69.2,33.9,-02.10,0.448,0.361,0.708,105.0,Cameron Shelton,14.4,Brooks DeBisschop,08.0,Cameron Shelton,4.3
Northern Colorado,Big_Sky,20,09,0.690,74.4,62.8,34.1,-02.76,0.466,0.379,0.671,111.8,Jonah Radebaugh,16.1,Kai Edwards,07.1,Jonah Radebaugh,6.6
Northern Illinois,MAC,17,12,0.586,67.1,64.6,38.7,-02.36,0.416,0.344,0.669,100.6,Eugene German,20.5,Lacey James,07.8,Eugene German,2.6
Northern Iowa,MVC,25,05,0.833,75.8,64.3,37.5,01.45,0.482,0.396,0.760,113.6,AJ Green,19.7,Austin Phyfe,08.3,AJ Green,3.0
Northern Kentucky,Horizon,21,09,0.700,72.2,65.3,36.9,-04.70,0.431,0.307,0.686,104.5,Tyler Sharpe,14.9,Adrian Nelson,06.6,Bryson Langdon,3.3
Northwestern State,Southland,12,15,0.444,73.7,75.9,38.7,-06.50,0.440,0.354,0.720,098.5,Chaudier Bile,14.2,Chaudier Bile,07.4,Brian White,3.2
Northwestern,Big_Ten,07,21,0.250,65.3,70.2,33.5,09.96,0.418,0.309,0.730,097.0,Miller Kopp,13.3,Pete Nance,06.1,Pat Spencer,3.8
Notre Dame,ACC,18,11,0.621,74.5,69.3,37.5,05.27,0.425,0.342,0.729,107.1,John Mooney,16.8,John Mooney,12.8,Prentiss Hubb,4.9
Oakland,Horizon,13,18,0.419,67.6,69.8,36.3,-02.80,0.428,0.300,0.685,098.8,Xavier Hill-Mais,16.7,Xavier Hill-Mais,08.2,Kevin Kangu,3.4
Ohio State,Big_Ten,20,09,0.690,72.2,62.3,37.0,09.71,0.447,0.378,0.744,108.0,Kaleb Wesson,14.0,Kaleb Wesson,09.6,CJ Walker,3.5
Ohio,MAC,15,14,0.517,71.3,68.6,35.3,00.32,0.445,0.345,0.688,103.2,Jason Preston,16.3,Ben Vander Plas,06.8,Jason Preston,7.4
Oklahoma State,Big_12,15,14,0.517,66.9,66.3,36.0,10.70,0.415,0.309,0.736,097.7,Cameron McGriff,11.9,Cameron McGriff,06.7,Isaac Likekele,4.3
Oklahoma,Big_12,18,11,0.621,70.6,67.6,36.7,10.69,0.425,0.322,0.768,101.3,Kristian Doolittle,15.7,Kristian Doolittle,08.8,Austin Reaves,3.0
Old Dominion,CUSA,12,17,0.414,65.3,65.6,39.3,00.38,0.402,0.290,0.692,095.9,Malik Curry,13.4,Aaron Carver,10.3,Malik Curry,3.8
Oral Roberts,Summit,16,13,0.552,80.6,73.7,37.8,-01.63,0.449,0.337,0.749,111.7,Emmanuel Nzekwesi,17.1,Emmanuel Nzekwesi,10.2,Deondre Burns,4.1
Oregon State,Pac-12,15,13,0.536,71.2,68.1,33.1,06.00,0.458,0.317,0.748,106.6,Tres Tinkle,18.1,Tres Tinkle,07.1,Ethan Thompson,4.5
Oregon,Pac-12,22,07,0.759,75.2,67.1,35.7,09.38,0.463,0.384,0.693,110.2,Payton Pritchard,20.2,Shakur Juiston,06.3,Payton Pritchard,5.4
Pacific,WCC,23,09,0.719,70.2,64.3,36.3,-00.01,0.455,0.344,0.667,103.5,Jahlil Tripp,15.8,Jahlil Tripp,08.8,Pierre Crockrell II,3.3
Penn State,Big_Ten,21,08,0.724,75.4,67.4,38.8,09.06,0.438,0.328,0.688,105.3,Lamar Stevens,17.7,Mike Watkins,07.6,Jamari Wheeler,3.1
Pennsylvania,Ivy,14,11,0.560,73.1,71.1,36.2,00.42,0.450,0.325,0.670,101.4,AJ Brodeur,17.0,AJ Brodeur,08.8,AJ Brodeur,4.9
Pepperdine,WCC,15,15,0.500,75.8,76.8,34.1,03.50,0.434,0.348,0.790,104.5,Colbey Ross,19.8,Kessler Edwards,07.4,Colbey Ross,7.2
Pittsburgh,ACC,15,15,0.500,65.2,65.0,34.3,06.96,0.405,0.292,0.712,098.7,Justin Champagnie,12.3,Justin Champagnie,07.4,Xavier Johnson,5.0
Portland State,Big_Sky,16,14,0.533,78.7,75.8,36.8,-02.30,0.447,0.332,0.719,108.1,Holland Woods,17.6,Sal Nuhu,07.2,Holland Woods,5.2
Portland,WCC,09,22,0.290,66.6,72.0,31.9,01.91,0.430,0.343,0.675,093.7,Isaiah White,12.2,Jacob Tryon,05.2,Chase Adams,3.7
Prairie View,SWAC,17,11,0.607,71.3,67.7,32.9,-07.06,0.438,0.310,0.714,097.7,Gerard Andrus,15.1,Gerard Andrus,05.5,Leon Sneed,3.2
Presbyterian,Big_South,10,21,0.323,67.5,73.1,33.6,-06.66,0.452,0.317,0.711,099.3,Cory Hightower,13.2,Cory Hightower,06.1,Chris Martin,2.6
Princeton,Ivy,13,12,0.520,70.7,68.9,32.2,-00.94,0.460,0.347,0.725,104.9,Jaelin Llewellyn,14.8,Richmond Aririguzoh,07.4,Ryan Schwieger,2.6
Providence,Big_East,17,12,0.586,70.4,66.3,38.1,08.19,0.406,0.325,0.690,100.8,Alpha Diallo,13.6,Alpha Diallo,07.9,David Duke,3.3
Purdue,Big_Ten,15,14,0.517,67.9,62.2,36.5,10.44,0.422,0.336,0.672,103.0,Trevion Williams,11.7,Trevion Williams,07.7,Eric Hunter Jr.,2.7
Quinnipiac,MAAC,14,15,0.483,69.6,70.8,36.0,-06.52,0.420,0.360,0.761,101.2,Rich Kelly,16.7,Kevin Marfo,13.1,Rich Kelly,4.4
Radford,Big_South,20,10,0.667,72.1,66.0,36.0,-05.28,0.467,0.356,0.633,110.5,Carlik Jones,19.6,Devine Eke,07.2,Carlik Jones,5.5
Rhode Island,A-10,20,08,0.714,74.3,68.5,38.9,04.42,0.427,0.317,0.690,101.7,Fatts Russell,19.5,Cyril Langevine,10.4,Fatts Russell,4.6
Rice,CUSA,14,15,0.483,73.9,74.3,35.7,-00.52,0.436,0.343,0.713,103.6,Trey Murphy III,13.5,Drew Peterson,06.6,Drew Peterson,3.5
Richmond,A-10,22,07,0.759,75.2,67.1,34.1,02.53,0.467,0.362,0.774,107.6,Blake Francis,17.5,Grant Golden,07.1,Jacob Gilyard,5.4
Rider,MAAC,17,12,0.586,71.8,69.7,38.2,-05.37,0.436,0.319,0.660,100.0,Dimencio Vaughn,14.7,Tyere Marshall,08.0,Stevie Jordan,4.0
Robert Morris,NEC,17,14,0.548,69.4,67.4,33.6,-06.25,0.440,0.365,0.663,102.8,AJ Bramah,13.0,AJ Bramah,08.3,Dante Treacy,4.4
Rutgers,Big_Ten,18,11,0.621,69.6,62.3,40.0,09.35,0.445,0.300,0.650,102.3,Ron Harper Jr.,12.1,Myles Johnson,08.0,Geo Baker,3.5
Sacramento State,Big_Sky,15,13,0.536,62.9,59.3,34.7,-02.47,0.416,0.314,0.719,097.7,Joshua Patton,13.1,Joshua Patton,05.6,Bryce Fowler,3.4
Sacred Heart,NEC,19,12,0.613,73.8,69.3,41.1,-07.60,0.433,0.325,0.740,104.8,E.J. Anosike,15.9,E.J. Anosike,11.6,Aaron Clarke,2.6
Saint Francis (PA),NEC,20,09,0.690,77.5,72.0,36.4,-06.56,0.462,0.364,0.746,109.2,Isaiah Blackmon,19.2,Keith Braxton,07.5,Keith Braxton,3.7
Saint Joseph's,A-10,06,23,0.207,68.6,79.3,36.0,05.33,0.385,0.296,0.703,095.2,Ryan Daly,20.1,Ryan Daly,07.2,Ryan Daly,4.3
Saint Louis,A-10,21,08,0.724,71.8,66.0,39.8,03.20,0.453,0.338,0.584,103.1,Jordan Goodwin,15.6,Jordan Goodwin,10.5,Yuri Collins,5.5
Saint Mary's (CA),WCC,24,07,0.774,75.9,66.5,32.1,04.43,0.484,0.402,0.754,113.7,Jordan Ford,21.2,Malik Fitts,07.1,Tommy Kuhse,3.8
Saint Peter's,MAAC,16,12,0.571,66.6,64.4,37.4,-05.95,0.410,0.351,0.722,096.5,KC Ndefo,08.2,Hassan Drame,05.3,Matthew Lee,2.2
Sam Houston State,Southland,18,11,0.621,79.3,72.5,34.2,-06.90,0.455,0.347,0.753,104.0,Zach Nutall,15.5,Kai Mitchell,06.0,Chad Bowie,2.6
Samford,Southern,10,22,0.313,74.1,81.7,36.5,-00.81,0.434,0.338,0.739,098.6,Josh Sharkey,18.0,Jalen Dupree,07.3,Josh Sharkey,7.1
San Diego State,MWC,28,01,0.966,75.3,59.2,35.5,03.65,0.471,0.380,0.764,113.3,Malachi Flynn,17.6,Yanni Wetzell,06.4,Malachi Flynn,5.1
San Diego,WCC,09,22,0.290,65.8,72.4,33.6,04.64,0.415,0.309,0.662,091.5,Braun Hartfield,14.3,Braun Hartfield,05.4,Marion Humphrey,2.5
San Francisco,WCC,20,11,0.645,74.7,69.4,36.5,03.57,0.436,0.336,0.723,106.0,Charles Minlend,14.0,Jimbo Lull,07.6,Jamaree Bouyea,3.5
San Jose State,MWC,07,23,0.233,70.0,81.5,34.7,05.27,0.389,0.300,0.717,094.3,Seneca Knight,16.9,Seneca Knight,05.8,Brae Ivey,2.5
Santa Clara,WCC,19,12,0.613,75.8,71.6,34.0,00.85,0.465,0.359,0.740,103.5,Josip Vrankic,12.4,Josip Vrankic,05.6,Trey Wertz,4.0
Seattle,WAC,14,15,0.483,75.1,72.8,35.4,-03.89,0.406,0.308,0.775,103.0,Terrell Brown,20.8,Myles Carter,07.1,Terrell Brown,4.8
Seton Hall,Big_East,21,07,0.750,75.1,67.2,37.3,09.53,0.447,0.330,0.721,105.1,Myles Powell,21.5,Jared Rhoden,06.6,Quincy McKnight,5.4
Siena,MAAC,17,10,0.630,71.9,68.7,36.0,-05.32,0.454,0.355,0.701,105.3,Jalen Pickett,15.5,Manny Camper,10.0,Jalen Pickett,5.6
South Alabama,Sun_Belt,19,11,0.633,71.7,67.9,32.8,-01.27,0.471,0.336,0.725,105.9,Josh Ajayi,14.9,Josh Ajayi,07.4,Trhae Mitchell,2.5
South Carolina State,MEAC,11,16,0.407,70.7,75.3,35.2,-08.68,0.440,0.314,0.754,099.9,Damani Applewhite,13.9,Damani Applewhite,06.5,Rayshawn Neal,3.1
South Carolina Upstate,Big_South,12,19,0.387,69.3,74.0,33.3,-05.96,0.425,0.323,0.689,099.4,Everette Hammond,14.3,Nevin Zink,04.5,Dalvin White,3.7
South Carolina,SEC,17,12,0.586,73.0,69.0,37.5,06.35,0.439,0.313,0.620,100.4,A.J. Lawson,13.7,Maik Kotsar,06.5,Jermaine Cousinard,3.0
South Dakota State,Summit,22,09,0.710,78.0,70.3,38.3,-04.10,0.493,0.348,0.705,110.6,Doug Wilson,18.7,Doug Wilson,06.4,Brandon Key,3.4
South Dakota,Summit,20,11,0.645,79.9,74.2,32.7,-03.66,0.494,0.390,0.755,111.8,Tyler Hagedorn,18.1,Tyler Hagedorn,06.9,Triston Simpson,3.7
South Florida,AAC,13,16,0.448,62.6,62.2,33.9,04.93,0.408,0.307,0.651,094.9,David Collins,13.8,Michael Durr,06.1,Laquincy Rideau,4.0
Southeast Missouri State,OVC,07,24,0.226,66.3,74.4,33.1,-05.34,0.417,0.320,0.691,095.9,Alex Caldwell,11.7,Sage Tolbert,07.0,Alex Caldwell,3.1
Southeastern Louisiana,Southland,07,22,0.241,69.6,78.8,32.4,-05.29,0.418,0.299,0.669,092.9,Tyron Brewer,15.1,Tyron Brewer,07.8,Von Julien,4.9
Southern California,Pac-12,21,09,0.700,70.8,66.5,38.7,07.26,0.440,0.348,0.667,099.5,Onyeka Okongwu,16.2,Onyeka Okongwu,08.7,Ethan Anderson,4.1
SIU Edwardsville,OVC,08,23,0.258,66.9,72.9,34.3,-05.71,0.427,0.313,0.683,095.3,Zeke Moore,12.6,Mike Adewunmi,05.1,Tyrese Williford,4.3
Southern Illinois,MVC,16,15,0.516,62.7,62.2,29.9,00.13,0.429,0.334,0.726,097.0,Marcus Domask,13.8,Barret Benson,05.5,Eric McGill,2.7
Southern Methodist,AAC,19,09,0.679,73.9,69.0,36.6,03.32,0.454,0.328,0.767,109.2,Kendric Davis,14.8,Feron Hunt,06.7,Kendric Davis,6.8
Southern Mississippi,CUSA,09,20,0.310,66.5,72.6,35.3,03.09,0.446,0.313,0.736,096.4,Tyler Stevenson,13.0,Leonard Harper-Baker,07.9,Gabe Watson,3.4
Southern Utah,Big_Sky,15,14,0.517,72.6,65.5,37.3,-02.03,0.453,0.328,0.714,101.5,Cameron Oluyitan,13.2,Maizen Fausett,05.8,John Knight III,3.0
Southern,SWAC,14,15,0.483,68.6,66.9,34.8,-09.20,0.435,0.315,0.667,098.4,Ashante Shivers,09.1,Darius Williams,06.1,Micah Bradford,3.3
St. Bonaventure,A-10,18,11,0.621,69.1,66.5,36.7,01.63,0.437,0.337,0.725,103.4,Kyle Lofton,14.3,Osun Osunniyi,08.7,Kyle Lofton,6.1
St. Francis (NY),NEC,13,17,0.433,70.3,72.0,36.1,-07.51,0.420,0.292,0.728,098.3,Chauncey Hawkins,14.9,Unique McLean,08.1,Chauncey Hawkins,3.3
St. John's (NY),Big_East,15,14,0.517,74.8,71.2,38.9,07.13,0.410,0.317,0.708,100.3,LJ Figueroa,14.4,Julian Champagnie,06.3,Rasheem Dunn,3.6
Stanford,Pac-12,20,09,0.690,70.3,61.7,33.3,06.03,0.475,0.375,0.695,101.1,Oscar Da Silva,16.1,Oscar Da Silva,06.5,Daejon Davis,3.5
Stephen F. Austin,Southland,26,03,0.897,81.2,67.2,37.3,-07.17,0.494,0.369,0.703,108.0,Kevon Harris,17.6,Gavin Kensmil,06.8,John Comeaux,2.4
Stetson,A-Sun,15,16,0.484,63.2,65.5,34.1,-05.48,0.442,0.325,0.651,097.6,Rob Perry,15.4,Mahamadou Diawara,06.5,Jahlil Rawley,1.7
Stony Brook,AEC,19,11,0.633,69.4,65.3,39.0,-04.10,0.404,0.328,0.724,098.1,Elijah Olaniyi,18.9,Andrew Garcia,06.9,Elijah Olaniyi,2.1
Syracuse,ACC,16,13,0.552,74.1,69.8,35.4,07.47,0.436,0.335,0.744,107.5,Elijah Hughes,18.8,Bourama Sidibe,07.1,Elijah Hughes,3.7
Temple,AAC,14,15,0.483,69.1,68.2,37.6,05.86,0.408,0.322,0.685,095.9,Quinton Rose,16.3,Nate Pierre-Louis,08.4,Quinton Rose,3.5
Tennessee-Martin,OVC,09,20,0.310,75.7,82.1,32.9,-04.25,0.455,0.337,0.753,107.5,Quintin Dove,20.2,Quintin Dove,07.9,Parker Stewart,3.8
Tennessee State,OVC,17,14,0.548,72.0,71.6,37.5,-05.11,0.474,0.356,0.650,101.4,Carlos Marshall Jr.,11.8,Wesley Harris,06.1,Mark Freeman,4.5
Tennessee Tech,OVC,09,22,0.290,65.6,72.3,34.6,-04.62,0.413,0.331,0.675,094.6,Jr. Clay,13.4,Amadou Sylla,05.5,Keishawn Davidson,4.4
